row_id,person_id,question,aligner_model,prompt_version,cache_key,alignments,unsupported_ai_claims,human_claim_count,ai_claim_count,aligned_count,partial_count,contradicted_count,missing_count,unsupported_count,claim_coverage_rate,strict_alignment_rate,unsupported_rate,status,cached
1,c_human,"where do you typically purchase your personal care products, and why?",gpt-5.6,alignment-v2,a24c23baa753b8ae792732873be9eeb6df75195dace2ac3c7cf9e31750868be3,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'The AI includes online platforms among typical purchase sources but does not say the respondent usually buys online specifically.'}, {'human_claim_id': 'h2', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that online purchasing provides the most flexibility.'}, {'human_claim_id': 'h3', 'ai_claim_id': 'a5', 'label': 'partial', 'rationale': 'Looking for good value overlaps with seeking discounts, but the AI does not specifically connect discounts to buying online.'}, {'human_claim_id': 'h4', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'The AI indicates purchases from retailers such as supermarkets, but does not specifically state that physical-store purchases occur sometimes.'}, {'human_claim_id': 'h5', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim says that seeing something interesting prompts purchases at stores.'}]","[{'ai_claim_id': 'a2', 'rationale': 'No human claim mentions getting everything needed in one place.'}, {'ai_claim_id': 'a3', 'rationale': 'No human claim identifies saving time as a reason for retailer choice.'}, {'ai_claim_id': 'a4', 'rationale': 'No human claim identifies saving effort as a reason for retailer choice.'}, {'ai_claim_id': 'a6', 'rationale': 'No human claim mentions seeking products with non-harmful ingredients.'}]",5,6,0,3,0,2,4,0.6,0.0,0.6666666666666666,completed,False
2,s_human,"where do you typically purchase your personal care products, and why?",gpt-5.6,alignment-v2,036aa142df4e6c295533f77699513082e4d085388e464347e49ac4eadba8bd26,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'Both describe typical online purchases from YesStyle, but the AI broadens face products to personal care products and also names Soko Glam.'}, {'human_claim_id': 'h2', 'ai_claim_id': 'a2', 'label': 'partial', 'rationale': 'Both indicate access to Korean skincare through YesStyle-related online shopping, but the AI describes a broad range across multiple stores rather than specifically the products the respondent needs at YesStyle.'}, {'human_claim_id': 'h3', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions purchasing body shampoo from supermarkets or drugstores such as dm.'}]","[{'ai_claim_id': 'a3', 'rationale': 'No human claim mentions detailed ingredient lists as a reason for purchasing.'}, {'ai_claim_id': 'a4', 'rationale': 'No human claim mentions appreciation for free samples.'}, {'ai_claim_id': 'a5', 'rationale': 'No human claim mentions using samples to try products before committing.'}, {'ai_claim_id': 'a6', 'rationale': 'No human claim mentions store transparency or confidence in product choices.'}, {'ai_claim_id': 'a7', 'rationale': 'No human claim mentions store reliability or confidence in product choices.'}]",3,7,0,2,0,1,5,0.6666666666666666,0.0,0.7142857142857143,completed,False
3,g_human,"where do you typically purchase your personal care products, and why?",gpt-5.6,alignment-v2,147c9371f13f99baab7289b65eee2f4c37166ab29f79e526e79d7568500b59ae,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'Both describe typically buying personal care products at a supermarket, but the AI omits that this happens almost always for all nearly empty products during grocery trips at the nearest full-service supermarket.'}, {'human_claim_id': 'h2', 'ai_claim_id': 'a2', 'label': 'partial', 'rationale': 'Both identify convenience as a reason for supermarket purchasing, but the AI does not say it is the most convenient option or tie it to grocery shopping at the nearest full-service supermarket.'}, {'human_claim_id': 'h3', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that supermarket purchasing during grocery shopping is considered the most time-efficient option.'}]","[{'ai_claim_id': 'a3', 'rationale': 'No human claim mentions recognized brands as a reason for supermarket purchasing.'}, {'ai_claim_id': 'a4', 'rationale': 'No human claim mentions trusted brands as a reason for supermarket purchasing.'}, {'ai_claim_id': 'a5', 'rationale': 'No human claim mentions wanting to see product sizes before buying.'}, {'ai_claim_id': 'a6', 'rationale': 'No human claim mentions wanting to see product designs before buying.'}]",3,6,0,2,0,1,4,0.6666666666666666,0.0,0.6666666666666666,completed,False
4,c_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",gpt-5.6,alignment-v2,909a5c9ba5293d6257ec14b9df09dda7f7eee45ab91aa7806b3e3465afe901ea,"[{'human_claim_id': 'h1', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that the respondent does not know which personal care brands they buy most often.'}, {'human_claim_id': 'h2', 'ai_claim_id': 'a8', 'label': 'partial', 'rationale': 'Both claims emphasize products or brands that work well, but the AI describes a preference rather than explicitly saying effectiveness is why the products are bought.'}, {'human_claim_id': 'h3', 'ai_claim_id': 'a5', 'label': 'partial', 'rationale': ""The AI confirms that one sunscreen is affordable, but it does not generalize this to the respondent's products or explicitly state affordability as the reason for buying them.""}]","[{'ai_claim_id': 'a1', 'rationale': 'No human claim mentions sticking with brands because their products are simple.'}, {'ai_claim_id': 'a2', 'rationale': ""Although it concerns effective products, it was not used because a8 more closely matches the respondent's preference for products that work for them.""}, {'ai_claim_id': 'a3', 'rationale': 'No human claim specifically describes the sunscreen as reliable.'}, {'ai_claim_id': 'a4', 'rationale': ""No human claim discusses the sunscreen's scent.""}, {'ai_claim_id': 'a6', 'rationale': 'No human claim discusses whether the respondent follows trends.'}, {'ai_claim_id': 'a7', 'rationale': 'No human claim mentions recommendations from friends.'}, {'ai_claim_id': 'a9', 'rationale': 'No human claim connects avoiding trends with preferences for recommended or proven brands.'}]",3,9,0,2,0,1,7,0.6666666666666666,0.0,0.7777777777777778,completed,False
5,s_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",gpt-5.6,alignment-v2,da9bc9c0998e13861bd141894be7089264f440d76f47c3bb91ccd66782e0f17b,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'Both describe a predominance of Korean skincare, but buying Korean brands does not fully establish using those products on the face.'}, {'human_claim_id': 'h2', 'ai_claim_id': 'a2', 'label': 'partial', 'rationale': 'The AI identifies a specific Some By Mi skincare product the respondent buys, but does not explicitly state that they use it on their face.'}, {'human_claim_id': 'h3', 'ai_claim_id': 'a3', 'label': 'partial', 'rationale': 'The AI identifies a specific Axis-Y skincare product the respondent buys, but does not explicitly state that they use it on their face.'}, {'human_claim_id': 'h4', 'ai_claim_id': 'a5', 'label': 'aligned', 'rationale': 'Both claims state that the respondent uses Beauty of Joseon sunscreen.'}]","[{'ai_claim_id': 'a4', 'rationale': 'No human claim mentions the products working well for oily, acne-prone skin.'}, {'ai_claim_id': 'a6', 'rationale': 'No human claim describes how the sunscreen feels.'}, {'ai_claim_id': 'a7', 'rationale': ""No human claim discusses the sunscreen's perceived effectiveness.""}, {'ai_claim_id': 'a8', 'rationale': 'No human claim discusses brand transparency about ingredients.'}, {'ai_claim_id': 'a9', 'rationale': 'No human claim states that the brands offer natural or organic options.'}, {'ai_claim_id': 'a10', 'rationale': 'No human claim states a preference for natural or organic options.'}]",4,10,1,3,0,0,6,1.0,0.25,0.6,completed,True
6,g_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",gpt-5.6,alignment-v2,7cde9df7afe3dc5a07a6fa11ee949208b9de17368db34a931a9544e47685940a,"[{'human_claim_id': 'h1', 'ai_claim_id': None, 'label': 'missing', 'rationale': ""No AI claim addresses the respondent's uncertainty about the current body lotion's brand.""}, {'human_claim_id': 'h2', 'ai_claim_id': None, 'label': 'missing', 'rationale': ""No AI claim identifies the respondent's current body lotion bottle as Niveau.""}, {'human_claim_id': 'h3', 'ai_claim_id': 'a4', 'label': 'partial', 'rationale': 'Both mention the respondent buying a no-name brand, but the AI claim does not identify it as the previous body lotion or as a discounter brand.'}, {'human_claim_id': 'h4', 'ai_claim_id': 'a5', 'label': 'partial', 'rationale': 'A good price-to-performance ratio overlaps with cost-efficiency, but the AI frames it as a general buying condition rather than a description of the previous lotion brand.'}]","[{'ai_claim_id': 'a1', 'rationale': ""This general Nivea purchasing habit does not establish the brand of the respondent's current body lotion.""}, {'ai_claim_id': 'a2', 'rationale': 'No human claim discusses the reliability of Nivea products.'}, {'ai_claim_id': 'a3', 'rationale': ""No human claim discusses Nivea products' effectiveness over time.""}, {'ai_claim_id': 'a6', 'rationale': 'No human claim discusses a preference for familiar products that work well.'}, {'ai_claim_id': 'a7', 'rationale': ""No human claim discusses whether products fit into the respondent's routine.""}]",4,7,0,2,0,2,5,0.5,0.0,0.7142857142857143,completed,False
7,c_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …",gpt-5.6,alignment-v2,1e05fa93a116921272edb29d49902094e0c535f1e5a2a0664e9d404766ba5503,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': ""The AI's preferred range includes 300 ml but does not preserve the specific ideal size of around 300 ml.""}, {'human_claim_id': 'h2', 'ai_claim_id': 'a2', 'label': 'partial', 'rationale': 'Natural materials overlap with some biodegradable materials, but recyclable or biodegradable materials are not necessarily natural.'}, {'human_claim_id': 'h3', 'ai_claim_id': None, 'label': 'missing', 'rationale': ""No AI claim addresses the respondent's preference for a pleasant smell.""}, {'human_claim_id': 'h4', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that the respondent expects body wash to clean the body.'}]","[{'ai_claim_id': 'a3', 'rationale': 'No human claim addresses a preference for simple packaging design.'}, {'ai_claim_id': 'a4', 'rationale': 'No human claim addresses a general preference for functional packaging.'}, {'ai_claim_id': 'a5', 'rationale': 'No human claim addresses pump or squeeze bottles.'}, {'ai_claim_id': 'a6', 'rationale': 'No human claim addresses ingredient labeling.'}, {'ai_claim_id': 'a7', 'rationale': 'No human claim addresses usage instructions on packaging.'}, {'ai_claim_id': 'a8', 'rationale': 'No human claim states that sustainability is a key consideration.'}, {'ai_claim_id': 'a9', 'rationale': 'No human claim states that ease of use is a key consideration.'}]",4,9,0,2,0,2,7,0.5,0.0,0.7777777777777778,completed,False
8,s_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …",gpt-5.6,alignment-v2,11b034e7d8a15a7146aa375217ad07742057f69cc1413037d41896f832cb7eb7,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'Both express a preferred body wash size, but the AI specifies 250–300 ml without explicitly characterizing it as large.'}, {'human_claim_id': 'h2', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that greater efficiency motivates choosing a large body wash size.'}, {'human_claim_id': 'h3', 'ai_claim_id': 'a2', 'label': 'aligned', 'rationale': 'Both claims state a preference for a glass body wash bottle.'}, {'human_claim_id': 'h4', 'ai_claim_id': 'a6', 'label': 'aligned', 'rationale': 'Clear packaging preserves the stated preference for transparent packaging.'}, {'human_claim_id': 'h5', 'ai_claim_id': 'a5', 'label': 'partial', 'rationale': 'A clean design overlaps with minimalist packaging, but does not necessarily require minimalism.'}]","[{'ai_claim_id': 'a3', 'rationale': 'No human claim mentions a pump dispenser.'}, {'ai_claim_id': 'a4', 'rationale': 'No human claim mentions ease of use as a reason for preferring a pump dispenser.'}, {'ai_claim_id': 'a7', 'rationale': 'No human claim requires detailed ingredient information on the packaging.'}, {'ai_claim_id': 'a8', 'rationale': 'No human claim requires usage instructions on the packaging.'}, {'ai_claim_id': 'a9', 'rationale': 'No human claim states that natural ingredients are mandatory.'}, {'ai_claim_id': 'a10', 'rationale': 'No human claim states that organic ingredients are mandatory.'}, {'ai_claim_id': 'a11', 'rationale': 'No human claim states that the packaging design should be practical.'}, {'ai_claim_id': 'a12', 'rationale': 'No human claim states that the packaging design should be informative.'}]",5,12,2,2,0,1,8,0.8,0.4,0.6666666666666666,completed,False
9,g_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …",gpt-5.6,alignment-v2,4b4f891f197d94388bac9558fda2581a93ff4549c5098eb5774afeade1dc5f53,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'Both describe preference for a bottle over 300 ml, but the AI specifies 500 ml and omits the home-use context.'}, {'human_claim_id': 'h2', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions a preference for metal bottles.'}, {'human_claim_id': 'h3', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions a preference for a pump dispenser.'}, {'human_claim_id': 'h4', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions refillable bottles.'}, {'human_claim_id': 'h5', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that the respondent lacks a strong opinion about packaging design.'}, {'human_claim_id': 'h6', 'ai_claim_id': 'a8', 'label': 'partial', 'rationale': 'Both indicate a preference for minimalistic design, but the AI presents it definitively as ideal rather than as an uncertain preference.'}, {'human_claim_id': 'h7', 'ai_claim_id': 'a6', 'label': 'contradicted', 'rationale': 'Not caring about ingredient information conflicts with preferring clear ingredient labeling.'}, {'human_claim_id': 'h8', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions a travel preference for a small bottle around 150 ml.'}, {'human_claim_id': 'h9', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions a travel preference for plastic bottles.'}, {'human_claim_id': 'h10', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim mentions a travel preference for a normal dispenser.'}]","[{'ai_claim_id': 'a2', 'rationale': 'No human claim discusses how long a 500 ml bottle lasts.'}, {'ai_claim_id': 'a3', 'rationale': 'No human claim identifies avoiding frequent repurchases as a reason for bottle-size preference.'}, {'ai_claim_id': 'a4', 'rationale': 'No aligned human claim separately states a preference for simple packaging.'}, {'ai_claim_id': 'a5', 'rationale': 'No human claim states a preference for functional packaging.'}, {'ai_claim_id': 'a7', 'rationale': 'No human claim discusses clear labeling of product benefits.'}, {'ai_claim_id': 'a9', 'rationale': ""No human claim states that the design should fit easily into the respondent's routine.""}, {'ai_claim_id': 'a10', 'rationale': 'No human claim states that the design should fit easily into storage space.'}]",10,10,0,2,1,7,7,0.2,0.0,0.7,completed,False
10,c_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?",gpt-5.6,alignment-v2,c11966d20dc767c9371a1177bda45ac63046509ccdd3e1cb18b29740fa73d79f,"[{'human_claim_id': 'h1', 'ai_claim_id': 'a1', 'label': 'partial', 'rationale': 'The AI describes regular bulk buying of one specific personal care product, whereas the human makes a broader claim about usual personal care purchasing.'}, {'human_claim_id': 'h2', 'ai_claim_id': None, 'label': 'missing', 'rationale': 'No AI claim states that the respondent purchases personal care products as soon as they are needed.'}]","[{'ai_claim_id': 'a2', 'rationale': 'This specific claim about regularly buying deodorant in bulk was not used to support an alignment.'}, {'ai_claim_id': 'a3', 'rationale': 'No human claim addresses toothpaste and deodorant being essential daily items.'}, {'ai_claim_id': 'a4', 'rationale': 'No human claim states that saving money motivates bulk purchases.'}, {'ai_claim_id': 'a5', 'rationale': 'No human claim states that avoiding running out motivates bulk purchases.'}]",2,5,0,1,0,1,4,0.5,0.0,0.8,completed,False
