row_id,person_id,question,human_answers,ai_answers,extractor_model,prompt_version,human_claims,ai_claims,status,human_cached,ai_cached
1,c_human,"where do you typically purchase your personal care products, and why?","i usually buy my products online, as this gives the most flexibility and there are some nice discouns. sometimes i buy them at stores when i see something interesting.","i typically purchase my personal care products from stores that offer a wide range of essentials, like supermarkets or online platforms this way, i can get everything i need in one place, saving time and effort i also look for retailers that provide good value for money and carry products with non-harmful ingredients",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent usually buys personal care products online.'}, {'claim_id': 'h2', 'claim': 'Buying online provides the respondent with the most flexibility.'}, {'claim_id': 'h3', 'claim': 'The availability of some nice discounts is a reason the respondent buys personal care products online.'}, {'claim_id': 'h4', 'claim': 'The respondent sometimes buys personal care products at stores.'}, {'claim_id': 'h5', 'claim': 'Seeing something interesting is the reason the respondent sometimes buys personal care products at stores.'}]","[{'claim_id': 'a1', 'claim': 'The respondent typically purchases personal care products from stores that offer a wide range of essentials, such as supermarkets or online platforms.'}, {'claim_id': 'a2', 'claim': ""The ability to get everything needed in one place is a reason for the respondent's choice of retailer.""}, {'claim_id': 'a3', 'claim': ""Saving time is a reason for the respondent's choice of retailer.""}, {'claim_id': 'a4', 'claim': ""Saving effort is a reason for the respondent's choice of retailer.""}, {'claim_id': 'a5', 'claim': 'The respondent also looks for retailers that provide good value for money.'}, {'claim_id': 'a6', 'claim': 'The respondent also looks for retailers that carry products with non-harmful ingredients.'}]",completed,True,True
2,s_human,"where do you typically purchase your personal care products, and why?","i usually order my face products online from yesstyle page that has the korean skin products i need, but then when it comes to body shampoo i go to supermarkets or drugstores like dm.","i typically purchase my personal care products from online stores like yesstyle and soko glam because they offer a wide range of korean skincare brands and provide detailed ingredient lists i also appreciate that they often include free samples, which lets me try new products before committing plus, their transparency and reliability make me feel confident in my choices 😊",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent usually orders face products online from YesStyle.'}, {'claim_id': 'h2', 'claim': 'YesStyle carries the Korean skin products the respondent needs.'}, {'claim_id': 'h3', 'claim': 'The respondent purchases body shampoo from supermarkets or drugstores such as dm.'}]","[{'claim_id': 'a1', 'claim': 'The respondent typically purchases personal care products from online stores such as YesStyle and Soko Glam.'}, {'claim_id': 'a2', 'claim': 'The wide range of Korean skincare brands is a reason the respondent purchases from these online stores.'}, {'claim_id': 'a3', 'claim': ""The stores' detailed ingredient lists are a reason the respondent purchases from them.""}, {'claim_id': 'a4', 'claim': 'The respondent appreciates that these stores often include free samples.'}, {'claim_id': 'a5', 'claim': 'The free samples allow the respondent to try new products before committing.'}, {'claim_id': 'a6', 'claim': ""The stores' transparency makes the respondent feel confident in their choices.""}, {'claim_id': 'a7', 'claim': ""The stores' reliability makes the respondent feel confident in their choices.""}]",completed,False,False
3,g_human,"where do you typically purchase your personal care products, and why?",i almost always get all my personal care products (which are being close to being empty) when doing grocery shopping in my nearest full-service supermarket. this feels the most convenient and time-efficient to me.,"i typically purchase my personal care products from the supermarket it's convenient, and i can easily find the brands i recognize and trust plus, i like to see the product sizes and designs before buying",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent almost always purchases all personal care products that are close to empty while grocery shopping at the nearest full-service supermarket.'}, {'claim_id': 'h2', 'claim': 'The respondent considers purchasing personal care products during grocery shopping at the nearest full-service supermarket the most convenient option.'}, {'claim_id': 'h3', 'claim': 'The respondent considers purchasing personal care products during grocery shopping at the nearest full-service supermarket the most time-efficient option.'}]","[{'claim_id': 'a1', 'claim': 'The respondent typically purchases personal care products from the supermarket.'}, {'claim_id': 'a2', 'claim': 'Convenience is a reason the respondent purchases personal care products from the supermarket.'}, {'claim_id': 'a3', 'claim': 'Being able to easily find brands the respondent recognizes is a reason for purchasing personal care products from the supermarket.'}, {'claim_id': 'a4', 'claim': 'Being able to easily find brands the respondent trusts is a reason for purchasing personal care products from the supermarket.'}, {'claim_id': 'a5', 'claim': 'The respondent likes to see product sizes before buying.'}, {'claim_id': 'a6', 'claim': 'The respondent likes to see product designs before buying.'}]",completed,False,False
4,c_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i don't really know the brands. i buy them because they get the job done and are affordable.,"i usually stick with brands that offer simple and effective products for skincare, i use a reliable sunscreen that doesn't have a bad scent and is affordable i don't follow trends much, so i prefer brands that are recommended by friends or have proven to work well for me",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent does not really know the personal care brands they buy most often.'}, {'claim_id': 'h2', 'claim': 'The respondent buys the products because they get the job done.'}, {'claim_id': 'h3', 'claim': 'The respondent buys the products because they are affordable.'}]","[{'claim_id': 'a1', 'claim': 'The respondent usually sticks with skincare brands that offer simple products.'}, {'claim_id': 'a2', 'claim': 'The respondent usually sticks with skincare brands that offer effective products.'}, {'claim_id': 'a3', 'claim': 'The respondent uses a sunscreen they consider reliable.'}, {'claim_id': 'a4', 'claim': ""The respondent's sunscreen does not have a bad scent.""}, {'claim_id': 'a5', 'claim': ""The respondent's sunscreen is affordable.""}, {'claim_id': 'a6', 'claim': 'The respondent does not follow trends much.'}, {'claim_id': 'a7', 'claim': 'The respondent prefers brands recommended by friends.'}, {'claim_id': 'a8', 'claim': 'The respondent prefers brands that have proven to work well for them.'}, {'claim_id': 'a9', 'claim': 'Not following trends much is the reason the respondent prefers brands recommended by friends or proven to work well for them.'}]",completed,True,True
5,s_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?","for my face i mostly use korean products like 'some by me', 'axis-y', 'beauty of joseon' for sunscreen.","i mostly buy skincare products from korean brands like 'some by mi' for their aha, bha, pha toner, and axis-y for their niacinamide serum because they work well for my oily, acne-prone skin i also use sunscreen by beauty of joseon since it feels light and effective these brands are transparent about their ingredients and have natural, organic options that i prefer",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent mostly uses Korean skincare products on their face.'}, {'claim_id': 'h2', 'claim': 'The respondent uses Some By Mi products on their face.'}, {'claim_id': 'h3', 'claim': 'The respondent uses AXIS-Y products on their face.'}, {'claim_id': 'h4', 'claim': 'The respondent uses Beauty of Joseon sunscreen on their face.'}]","[{'claim_id': 'a1', 'claim': 'The respondent mostly buys skincare products from Korean brands.'}, {'claim_id': 'a2', 'claim': 'The respondent buys Some By Mi AHA, BHA, PHA toner.'}, {'claim_id': 'a3', 'claim': 'The respondent buys Axis-Y niacinamide serum.'}, {'claim_id': 'a4', 'claim': ""The Some By Mi toner and Axis-Y serum work well for the respondent's oily, acne-prone skin.""}, {'claim_id': 'a5', 'claim': 'The respondent also uses Beauty of Joseon sunscreen.'}, {'claim_id': 'a6', 'claim': 'Beauty of Joseon sunscreen feels light to the respondent.'}, {'claim_id': 'a7', 'claim': 'Beauty of Joseon sunscreen feels effective to the respondent.'}, {'claim_id': 'a8', 'claim': 'These brands are transparent about their ingredients.'}, {'claim_id': 'a9', 'claim': 'These brands offer natural, organic options.'}, {'claim_id': 'a10', 'claim': 'The respondent prefers natural, organic options.'}]",completed,True,True
6,g_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i'm actually not 100%% confident of the branding of my current body lotion. i think the current bottle is from niveau and the previous one was a cost-efficient discounter (no-name) brand.,i usually buy nivea for skincare and body wash products because they are reliable and have been effective for me over time i also sometimes pick up no-name brands if they have a good price-to-performance ratio i prefer sticking to what i know works well and fits into my routine,gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent is not 100% confident about the brand of their current body lotion.'}, {'claim_id': 'h2', 'claim': 'The respondent thinks their current body lotion bottle is from Niveau.'}, {'claim_id': 'h3', 'claim': ""The respondent's previous body lotion was from a no-name discounter brand.""}, {'claim_id': 'h4', 'claim': 'The respondent describes the previous body lotion brand as cost-efficient.'}]","[{'claim_id': 'a1', 'claim': 'The respondent usually buys Nivea for skincare and body wash products.'}, {'claim_id': 'a2', 'claim': 'The respondent considers Nivea products reliable.'}, {'claim_id': 'a3', 'claim': 'Nivea products have been effective for the respondent over time.'}, {'claim_id': 'a4', 'claim': 'The respondent sometimes buys no-name brands.'}, {'claim_id': 'a5', 'claim': 'A good price-to-performance ratio is a condition for the respondent to buy no-name brands.'}, {'claim_id': 'a6', 'claim': 'The respondent prefers sticking to products they know work well.'}, {'claim_id': 'a7', 'claim': 'The respondent prefers products that fit into their routine.'}]",completed,False,False
7,c_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","it should be around 300 ml, use natural materias and smell nice. of course it needs to clean the body haha","i prefer a body wash size of around 250-500 ml, with packaging made from recyclable or biodegradable materials the design should be simple and functional, like a pump or squeeze bottle, and clearly list essential information such as ingredients and usage instructions sustainability and ease of use are key for me",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': ""The respondent's ideal body wash size is around 300 ml.""}, {'claim_id': 'h2', 'claim': 'The respondent prefers body wash packaging to use natural materials.'}, {'claim_id': 'h3', 'claim': 'The respondent prefers body wash to smell nice.'}, {'claim_id': 'h4', 'claim': 'The respondent expects body wash to clean the body.'}]","[{'claim_id': 'a1', 'claim': 'The respondent prefers a body wash volume of around 250–500 ml.'}, {'claim_id': 'a2', 'claim': 'The respondent prefers packaging made from recyclable or biodegradable materials.'}, {'claim_id': 'a3', 'claim': 'The respondent prefers a simple packaging design.'}, {'claim_id': 'a4', 'claim': 'The respondent prefers functional packaging.'}, {'claim_id': 'a5', 'claim': 'The respondent prefers a pump or squeeze bottle.'}, {'claim_id': 'a6', 'claim': 'The respondent prefers packaging that clearly lists the ingredients.'}, {'claim_id': 'a7', 'claim': 'The respondent prefers packaging that clearly lists usage instructions.'}, {'claim_id': 'a8', 'claim': 'Sustainability is a key consideration for the respondent.'}, {'claim_id': 'a9', 'claim': 'Ease of use is a key consideration for the respondent.'}]",completed,False,False
8,s_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for body wash, i would go with a big size as it is more efficient, but glass bottle and transparent, minimalistic.","for a body wash, i prefer a 250-300 ml glass bottle with a pump dispenser for ease of use the packaging should be clean and clear, with detailed ingredient information and usage instructions natural and organic ingredients are a must, and the design should be practical and informative",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent would choose a large body wash size.'}, {'claim_id': 'h2', 'claim': 'Greater efficiency is the reason the respondent would choose a large size.'}, {'claim_id': 'h3', 'claim': 'The respondent prefers a glass bottle for body wash.'}, {'claim_id': 'h4', 'claim': 'The respondent prefers transparent body wash packaging.'}, {'claim_id': 'h5', 'claim': 'The respondent prefers minimalist body wash packaging.'}]","[{'claim_id': 'a1', 'claim': 'The respondent prefers a body wash bottle with a volume of 250–300 ml.'}, {'claim_id': 'a2', 'claim': 'The respondent prefers a glass body wash bottle.'}, {'claim_id': 'a3', 'claim': 'The respondent prefers a pump dispenser.'}, {'claim_id': 'a4', 'claim': 'Ease of use is the reason for preferring a pump dispenser.'}, {'claim_id': 'a5', 'claim': 'The body wash packaging should have a clean design.'}, {'claim_id': 'a6', 'claim': 'The body wash packaging should be clear.'}, {'claim_id': 'a7', 'claim': 'The body wash packaging should include detailed ingredient information.'}, {'claim_id': 'a8', 'claim': 'The body wash packaging should include usage instructions.'}, {'claim_id': 'a9', 'claim': 'Natural ingredients are a must for the respondent.'}, {'claim_id': 'a10', 'claim': 'Organic ingredients are a must for the respondent.'}, {'claim_id': 'a11', 'claim': 'The body wash packaging design should be practical.'}, {'claim_id': 'a12', 'claim': 'The body wash packaging design should be informative.'}]",completed,False,False
9,g_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for home use, i prefer medium-large sized metal bottles of more than 300 ml with a pump dispenser that can be refilled. regarding the design i don't have a strong opinion. however, i think i prefer a clean and minimalistic design. i don't really care about information of its ingredients. for traveling purposes, i prefer rather small plastic bottles (around 150ml) with a normal dispenser.","i prefer a body wash product that comes in a 500ml bottle, as it lasts long enough without needing frequent repurchases the packaging should be simple and functional, with clear labeling of ingredients and benefits a minimalistic design that fits easily into my routine and storage space is ideal",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'For home use, the respondent prefers medium-large body wash bottles of more than 300 ml.'}, {'claim_id': 'h2', 'claim': 'For home use, the respondent prefers metal body wash bottles.'}, {'claim_id': 'h3', 'claim': 'For home use, the respondent prefers a pump dispenser.'}, {'claim_id': 'h4', 'claim': 'For home use, the respondent prefers refillable body wash bottles.'}, {'claim_id': 'h5', 'claim': 'The respondent does not have a strong opinion about body wash packaging design.'}, {'claim_id': 'h6', 'claim': 'The respondent thinks they prefer a clean and minimalistic design.'}, {'claim_id': 'h7', 'claim': ""The respondent does not really care about information on the body wash's ingredients.""}, {'claim_id': 'h8', 'claim': 'For travel, the respondent prefers rather small body wash bottles of around 150 ml.'}, {'claim_id': 'h9', 'claim': 'For travel, the respondent prefers plastic body wash bottles.'}, {'claim_id': 'h10', 'claim': 'For travel, the respondent prefers a normal dispenser.'}]","[{'claim_id': 'a1', 'claim': 'The respondent prefers a body wash in a 500 ml bottle.'}, {'claim_id': 'a2', 'claim': 'A 500 ml bottle lasts long enough for the respondent.'}, {'claim_id': 'a3', 'claim': 'Avoiding frequent repurchases is a reason for preferring a 500 ml bottle.'}, {'claim_id': 'a4', 'claim': 'The respondent prefers simple packaging.'}, {'claim_id': 'a5', 'claim': 'The respondent prefers functional packaging.'}, {'claim_id': 'a6', 'claim': 'The respondent prefers clear labeling of ingredients.'}, {'claim_id': 'a7', 'claim': 'The respondent prefers clear labeling of product benefits.'}, {'claim_id': 'a8', 'claim': 'The respondent considers a minimalistic design ideal.'}, {'claim_id': 'a9', 'claim': 'The respondent prefers a design that fits easily into their routine.'}, {'claim_id': 'a10', 'claim': 'The respondent prefers a design that fits easily into their storage space.'}]",completed,True,True
10,c_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?","i don't usually buy in bulk, but rather as soon as i need them.","i regularly buy toothpaste and deodorant in bulk these are essential items in my daily routine, and buying them in larger quantities helps me save money and avoid running out",gpt-5.6,claims-v2,"[{'claim_id': 'h1', 'claim': 'The respondent does not usually buy personal care products in bulk.'}, {'claim_id': 'h2', 'claim': 'The respondent buys personal care products as soon as they need them.'}]","[{'claim_id': 'a1', 'claim': 'The respondent regularly buys toothpaste in bulk.'}, {'claim_id': 'a2', 'claim': 'The respondent regularly buys deodorant in bulk.'}, {'claim_id': 'a3', 'claim': ""Toothpaste and deodorant are essential items in the respondent's daily routine.""}, {'claim_id': 'a4', 'claim': 'Saving money is a reason the respondent buys these items in larger quantities.'}, {'claim_id': 'a5', 'claim': 'Avoiding running out is a reason the respondent buys these items in larger quantities.'}]",completed,True,True
