row_id,person_id,question,human_answers,ai_answers,evaluator_model,prompt_version,evidence_format,cache_key,status,cached,core_applicable,core_score,core_rationale,core_human_evidence,core_ai_evidence,core_confidence,behavior_applicable,behavior_score,behavior_rationale,behavior_human_evidence,behavior_ai_evidence,behavior_confidence,preference_applicable,preference_score,preference_rationale,preference_human_evidence,preference_ai_evidence,preference_confidence,motivation_applicable,motivation_score,motivation_rationale,motivation_human_evidence,motivation_ai_evidence,motivation_confidence,nuance_applicable,nuance_score,nuance_rationale,nuance_human_evidence,nuance_ai_evidence,nuance_confidence
1,c_human,"where do you typically purchase your personal care products, and why?","i usually buy my products online, as this gives the most flexibility and there are some nice discouns. sometimes i buy them at stores when i see something interesting.","i typically purchase my personal care products from stores that offer a wide range of essentials, like supermarkets or online platforms this way, i can get everything i need in one place, saving time and effort i also look for retailers that provide good value for money and carry products with non-harmful ingredients",gpt-5.6,fidelity-v4,single-excerpt-v1,8d127d9b89c25069b498204d79e4d4512f6d4cf6643a6f88e85b7c21e4c13c01,completed,False,True,2,"The AI mentions both online platforms and physical stores, but it does not preserve online purchasing as the primary channel and replaces much of the stated rationale with one-stop shopping, time savings, and ingredient concerns.","i usually buy my products online, as this gives the most flexibility and there are some nice discouns.","i typically purchase my personal care products from stores that offer a wide range of essentials, like supermarkets or online platforms",high,True,3.0,"Both answers include online and in-store purchasing, but the AI does not preserve the pattern of usually buying online and only sometimes buying in stores.",sometimes i buy them at stores when i see something interesting.,like supermarkets or online platforms,high,True,3.0,"The AI's emphasis on value for money partly matches the human's appreciation of discounts, but the human's priority on flexibility is not clearly preserved and other priorities are added.",this gives the most flexibility and there are some nice discouns.,i also look for retailers that provide good value for money and carry products with non-harmful ingredients,medium,True,3.0,"Value for money partly aligns with discounts, and time savings are loosely compatible with flexibility, but the AI substitutes substantially different reasons and omits the store trigger of seeing something interesting.",as this gives the most flexibility and there are some nice discouns.,"this way, i can get everything i need in one place, saving time and effort",high,True,2.0,The human distinguishes usually buying online from sometimes shopping in stores under a specific condition; the AI collapses the channels together and loses that frequency and condition.,sometimes i buy them at stores when i see something interesting.,"i typically purchase my personal care products from stores that offer a wide range of essentials, like supermarkets or online platforms",high
2,s_human,"where do you typically purchase your personal care products, and why?","i usually order my face products online from yesstyle page that has the korean skin products i need, but then when it comes to body shampoo i go to supermarkets or drugstores like dm.","i typically purchase my personal care products from online stores like yesstyle and soko glam because they offer a wide range of korean skincare brands and provide detailed ingredient lists i also appreciate that they often include free samples, which lets me try new products before committing plus, their transparency and reliability make me feel confident in my choices 😊",gpt-5.6,fidelity-v4,single-excerpt-v1,a7a255961323f2119c98f22e2538d5aed3fade5856653b640ae0bd97ef00892c,completed,False,True,3,"The AI preserves the central point about buying Korean skincare online from YesStyle, but omits the distinct practice of purchasing body shampoo at supermarkets or drugstores such as dm.","i usually order my face products online from yesstyle page that has the korean skin products i need, but then when it comes to body shampoo i go to supermarkets or drugstores like dm.",i typically purchase my personal care products from online stores like yesstyle and soko glam,high,True,3.0,"The online YesStyle purchasing behavior aligns, but the AI does not preserve the human's separate in-store purchasing behavior for body shampoo.",when it comes to body shampoo i go to supermarkets or drugstores like dm.,i typically purchase my personal care products from online stores like yesstyle and soko glam,high,False,,"The human describes where they purchase different products but does not explicitly state a like, dislike, priority, or preference.",,,high,True,5.0,Both answers identify access to Korean skincare products as the reason for purchasing from YesStyle; the AI's additional reasons are compatible but reference-unverifiable.,yesstyle page that has the korean skin products i need,because they offer a wide range of korean skincare brands,high,True,2.0,The human makes an important product-category distinction—online for face products but physical stores for body shampoo—which the AI largely generalizes into online purchasing of personal care products.,but then when it comes to body shampoo i go to supermarkets or drugstores like dm.,i typically purchase my personal care products from online stores like yesstyle and soko glam,high
3,g_human,"where do you typically purchase your personal care products, and why?",i almost always get all my personal care products (which are being close to being empty) when doing grocery shopping in my nearest full-service supermarket. this feels the most convenient and time-efficient to me.,"i typically purchase my personal care products from the supermarket it's convenient, and i can easily find the brands i recognize and trust plus, i like to see the product sizes and designs before buying",gpt-5.6,fidelity-v4,single-excerpt-v1,df5bfdbd3c1a711699d31f965dcf2b365d224152177a38fe09ff2b636151f6e4,completed,False,True,4,"Both answers center on purchasing personal care products at a supermarket for convenience. The AI omits the nearest full-service location, grocery-trip timing, and near-empty trigger, but retains the main answer.",when doing grocery shopping in my nearest full-service supermarket.,i typically purchase my personal care products from the supermarket,high,True,4.0,"The AI preserves the typical supermarket-purchasing behavior, though it leaves out that this occurs during grocery shopping when products are close to empty.",i almost always get all my personal care products (which are being close to being empty) when doing grocery shopping in my nearest full-service supermarket.,i typically purchase my personal care products from the supermarket,high,True,4.0,"Both answers prioritize convenience. The AI does not explicitly preserve time efficiency and adds compatible, reference-unverifiable preferences about brands and inspecting products.",this feels the most convenient and time-efficient to me.,it's convenient,high,True,4.0,"Convenience is preserved as a purchase reason, while the human's time-efficiency rationale is only implicit or omitted. The added brand-recognition and visual-inspection reasons do not contradict the stated motivation.",this feels the most convenient and time-efficient to me.,"it's convenient, and i can easily find the brands i recognize and trust",high,True,3.0,"The AI roughly preserves high frequency through “typically,” but loses meaningful conditions: buying during grocery trips, using the nearest full-service supermarket, and waiting until products are close to empty.",i almost always get all my personal care products (which are being close to being empty) when doing grocery shopping in my nearest full-service supermarket.,i typically purchase my personal care products from the supermarket,high
4,c_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i don't really know the brands. i buy them because they get the job done and are affordable.,"i usually stick with brands that offer simple and effective products for skincare, i use a reliable sunscreen that doesn't have a bad scent and is affordable i don't follow trends much, so i prefer brands that are recommended by friends or have proven to work well for me",gpt-5.6,fidelity-v4,single-excerpt-v1,d9cadfc239313626ae9a6d90025752f5b41eacb3f223febce57db6a2fb43c5bc,completed,False,True,3,"The AI preserves effectiveness and affordability as key considerations, but it does not preserve the human's central admission that they do not really know the brands and instead suggests recurring brand choices.",i don't really know the brands. i buy them because they get the job done and are affordable.,i usually stick with brands that offer simple and effective products for skincare,high,True,5.0,Both answers describe obtaining or using personal-care products that are effective and affordable; the AI's additional sunscreen and recommendation details do not directly conflict with that behavior.,i buy them because they get the job done and are affordable.,i use a reliable sunscreen that doesn't have a bad scent and is affordable,high,True,5.0,"The human's priorities of effectiveness and affordability are preserved, with the AI adding compatible desired attributes.",they get the job done and are affordable.,"simple and effective products for skincare, i use a reliable sunscreen that doesn't have a bad scent and is affordable",high,True,5.0,The AI retains both stated purchase drivers: products working well and being affordable. The extra references to scent and recommendations do not replace or contradict those reasons.,i buy them because they get the job done and are affordable.,have proven to work well for me,high,True,2.0,"The human qualifies their answer with uncertainty about brand knowledge, while the AI omits this and instead portrays a usual pattern of sticking with brands. This substantially changes the qualified nature of the answer without explicitly stating the direct opposite.",i don't really know the brands.,i usually stick with brands,high
5,s_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?","for my face i mostly use korean products like 'some by me', 'axis-y', 'beauty of joseon' for sunscreen.","i mostly buy skincare products from korean brands like 'some by mi' for their aha, bha, pha toner, and axis-y for their niacinamide serum because they work well for my oily, acne-prone skin i also use sunscreen by beauty of joseon since it feels light and effective these brands are transparent about their ingredients and have natural, organic options that i prefer",gpt-5.6,fidelity-v4,single-excerpt-v1,bae5a5f4b082c0e0ae96d0ab50ab97195d24c58611b339499e6a89a93014c1b1,completed,False,True,5,"The AI preserves the central claim that the person primarily uses Korean facial-skincare brands, naming the same three brands and correctly associating Beauty of Joseon with sunscreen. The added product details and benefits are reference-unverifiable but do not materially conflict with the human answer.","for my face i mostly use korean products like 'some by me', 'axis-y', 'beauty of joseon' for sunscreen.",i mostly buy skincare products from korean brands like 'some by mi',high,True,5.0,"Both answers describe primarily buying or using Korean skincare products from the same brands, including using Beauty of Joseon sunscreen. The AI's specific toner and serum claims add detail without changing the core behavior.",for my face i mostly use korean products,i mostly buy skincare products from korean brands,high,False,,"The human reports which products and brands they mostly use but does not explicitly state a like, dislike, priority, indifference, or preference.",,,high,False,,"Although the question asks why and the AI supplies several reasons, the human answer does not state any reason or decision driver for using these brands.",,,high,True,5.0,"The AI preserves the human's frequency qualifier that these are the brands they use or buy mostly, rather than presenting them as exclusive choices.",mostly use korean products,mostly buy skincare products from korean brands,high
6,g_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i'm actually not 100%% confident of the branding of my current body lotion. i think the current bottle is from niveau and the previous one was a cost-efficient discounter (no-name) brand.,i usually buy nivea for skincare and body wash products because they are reliable and have been effective for me over time i also sometimes pick up no-name brands if they have a good price-to-performance ratio i prefer sticking to what i know works well and fits into my routine,gpt-5.6,fidelity-v4,single-excerpt-v1,bc0ff482c50d9da96c18623e857724a8f27e8160354c99d215a1d1b8739daea7,completed,False,True,3,The AI preserves the two brand categories—Nivea and no-name products—but turns a tentative report about the current and previous bottles into a confident recurring purchasing pattern and adds unsupported efficacy claims.,i think the current bottle is from niveau and the previous one was a cost-efficient discounter (no-name) brand.,i usually buy nivea for skincare and body wash products because they are reliable,high,True,3.0,"Both answers indicate use or purchase of Nivea and a no-name brand, but the AI meaningfully changes a current-versus-previous account into “usually” and “sometimes” buying patterns.",the current bottle is from niveau and the previous one was a cost-efficient discounter (no-name) brand.,i usually buy nivea for skincare and body wash products,high,False,,"The human reports current and previous products but does not explicitly state a like, dislike, priority, indifference, or relative preference.",,,high,True,5.0,The human's stated price/value reason for the no-name brand is preserved by the AI's equivalent price-to-performance explanation; the additional Nivea reasons do not contradict it.,cost-efficient discounter (no-name) brand.,no-name brands if they have a good price-to-performance ratio,high,True,2.0,"The human emphasizes uncertainty about the lotion's branding, while the AI presents Nivea as a confident usual purchase and describes an established routine, substantially losing that uncertainty.",i'm actually not 100%% confident of the branding of my current body lotion.,i usually buy nivea for skincare and body wash products,high
7,c_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","it should be around 300 ml, use natural materias and smell nice. of course it needs to clean the body haha","i prefer a body wash size of around 250-500 ml, with packaging made from recyclable or biodegradable materials the design should be simple and functional, like a pump or squeeze bottle, and clearly list essential information such as ingredients and usage instructions sustainability and ease of use are key for me",gpt-5.6,fidelity-v4,single-excerpt-v1,28c67bc93e6e22366c3ac06df2f4c80077b18e263104fc148c30e365df05e77f,completed,False,True,3,"The AI broadly matches the approximate size and environmentally oriented packaging, but it broadens the volume considerably and omits the human's desired pleasant smell and explicit cleaning requirement.","it should be around 300 ml, use natural materias and smell nice.","i prefer a body wash size of around 250-500 ml, with packaging made from recyclable or biodegradable materials",high,False,,"The human describes an ideal product and desired features, not an actual or intended purchase, use pattern, or other behavior.",,,high,True,3.0,"The approximate size and sustainability-related packaging preferences partially align, but recyclable or biodegradable materials are not identical to natural materials, and the AI omits the preference for a pleasant smell and cleaning functionality.","it should be around 300 ml, use natural materias and smell nice.","i prefer a body wash size of around 250-500 ml, with packaging made from recyclable or biodegradable materials",high,False,,The human states desired product attributes and functionality but does not explain why those attributes are preferred.,,,high,True,3.0,"The AI preserves an approximate rather than exact volume, but its 250–500 ml range is substantially broader than around 300 ml and it omits the human's emphatic requirement that the product clean the body.",of course it needs to clean the body haha,i prefer a body wash size of around 250-500 ml,high
8,s_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for body wash, i would go with a big size as it is more efficient, but glass bottle and transparent, minimalistic.","for a body wash, i prefer a 250-300 ml glass bottle with a pump dispenser for ease of use the packaging should be clean and clear, with detailed ingredient information and usage instructions natural and organic ingredients are a must, and the design should be practical and informative",gpt-5.6,fidelity-v4,single-excerpt-v1,520e90646c6d1afce6fd5837a44a9329ef0a8759487ad9011e5206c6c6f706e9,completed,False,True,3,"The AI preserves the preference for glass and a clean design, but changes the important request for a large, transparent, minimalist package into a specific 250–300 ml format with several added features.","a big size as it is more efficient, but glass bottle and transparent, minimalistic.",i prefer a 250-300 ml glass bottle with a pump dispenser,high,False,,"The human describes an ideal hypothetical product configuration, not an actual or intended real-world purchase or use behavior.",,,high,True,3.0,"Glass aligns, and a clean design may partially reflect minimalism, but the AI's 250–300 ml size does not preserve the stated preference for a big size, while transparency is not clearly retained.","i would go with a big size as it is more efficient, but glass bottle and transparent, minimalistic.",i prefer a 250-300 ml glass bottle with a pump dispenser,high,True,2.0,"The human identifies efficiency as the reason for choosing a large size, whereas the AI omits that driver and instead gives ease of use as a reason for a pump dispenser.",as it is more efficient,with a pump dispenser for ease of use,high,True,2.0,"The human's desired size degree is explicitly large, but the AI replaces it with 250–300 ml, materially changing that size qualification without enough context to establish a direct reversal.",a big size,250-300 ml,medium
9,g_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for home use, i prefer medium-large sized metal bottles of more than 300 ml with a pump dispenser that can be refilled. regarding the design i don't have a strong opinion. however, i think i prefer a clean and minimalistic design. i don't really care about information of its ingredients. for traveling purposes, i prefer rather small plastic bottles (around 150ml) with a normal dispenser.","i prefer a body wash product that comes in a 500ml bottle, as it lasts long enough without needing frequent repurchases the packaging should be simple and functional, with clear labeling of ingredients and benefits a minimalistic design that fits easily into my routine and storage space is ideal",gpt-5.6,fidelity-v4,single-excerpt-v1,1b6c2319edf9d749bc2104c6f9b5c9923fa51e3c4887428ceb5449da6fbb31c0,completed,False,True,2,"The AI aligns with the larger home-use volume and minimalist design, but it collapses the human's home-versus-travel distinction and omits central material, dispenser, and refillability requirements. It also elevates ingredient labeling despite the human's stated lack of concern.","for traveling purposes, i prefer rather small plastic bottles (around 150ml) with a normal dispenser.",i prefer a body wash product that comes in a 500ml bottle,high,False,,"The human describes desired product features and hypothetical use-context preferences, not an actual or intended purchasing or usage behavior.",,,high,True,2.0,"The larger size and minimalist design partially align, but the AI misses the preferred metal refillable pump for home and small plastic travel bottle, while treating ingredient labeling as important despite the human's indifference.",i don't really care about information of its ingredients.,with clear labeling of ingredients and benefits,high,True,2.0,"The human uses travel as the driver for choosing a small plastic bottle, whereas the AI substitutes avoiding frequent repurchases as its stated reason for a large bottle. These are different decision drivers rather than direct opposites.","for traveling purposes, i prefer rather small plastic bottles",as it lasts long enough without needing frequent repurchases,high,True,2.0,"The AI loses the important home-versus-travel condition and strengthens the human's tentative, weak design preference into an unqualified ideal. It also fails to preserve the explicit indifference toward ingredient information.","regarding the design i don't have a strong opinion. however, i think i prefer a clean and minimalistic design.",a minimalistic design that fits easily into my routine and storage space is ideal,high
10,c_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?","i don't usually buy in bulk, but rather as soon as i need them.","i regularly buy toothpaste and deodorant in bulk these are essential items in my daily routine, and buying them in larger quantities helps me save money and avoid running out",gpt-5.6,fidelity-v4,single-excerpt-v1,90779f9f3fd569d3c9637279485188e5a7be2dc45e10db06bfa19ba9119e9db5,completed,False,True,1,"The AI reverses the central meaning: the human generally buys products as needed rather than in bulk, while the AI claims regular bulk purchasing.","i don't usually buy in bulk, but rather as soon as i need them.",i regularly buy toothpaste and deodorant in bulk,high,True,1.0,The stated purchasing behaviors directly conflict: not usually buying in bulk versus regularly doing so.,i don't usually buy in bulk,i regularly buy toothpaste and deodorant in bulk,high,False,,"The human describes a purchasing pattern but does not explicitly state a preference, like, dislike, or priority.",,,high,False,,The human gives no explicit reason for the purchasing pattern; the AI-only reasons of saving money and avoiding shortages cannot establish applicability.,,,high,True,1.0,"The AI materially reverses the human's frequency qualifier, changing “don't usually” into “regularly.”",i don't usually buy in bulk,i regularly buy toothpaste and deodorant in bulk,high
