row_id,person_id,question,human_answer,ai_answer,automated_fidelity_score,automated_fidelity_scale,behavior_score,preference_score,motivation_score,nuance_score,claim_coverage_rate,strict_alignment_rate,contradicted_count,missing_count,unsupported_rate,nli_contradiction_present,bertscore_f1,human_fidelity_score,human_contradiction,human_omission,human_unsupported_detail,reviewer_note,score_difference,exact_score_agreement,within_one_point,final_fidelity_label,main_issue,final_assessment_note
1,c_human,"where do you typically purchase your personal care products, and why?","i usually buy my products online, as this gives the most flexibility and there are some nice discouns. sometimes i buy them at stores when i see something interesting.","i typically purchase my personal care products from stores that offer a wide range of essentials, like supermarkets or online platforms this way, i can get everything i need in one place, saving time and effort i also look for retailers that provide good value for money and carry products with non-harmful ingredients",2,1-5,3.0,3.0,3.0,2.0,0.6,0.0,0,2,0.6666666666666666,False,0.2049388289451599,3,NO,YES,YES,"The AI keeps the idea that the person buys online and sometimes in stores, but it misses flexibility and discounts as the main reasons and adds several extra reasons and preferences that were not mentioned.",-1,False,True,Mixed fidelity,omission + unsupported elaboration,"The AI keeps the idea that the person buys online and sometimes in stores, but it misses flexibility and discounts as the main reasons and adds several extra reasons and preferences that were not mentioned. Overall fidelity: Mixed fidelity."
2,s_human,"where do you typically purchase your personal care products, and why?","i usually order my face products online from yesstyle page that has the korean skin products i need, but then when it comes to body shampoo i go to supermarkets or drugstores like dm.","i typically purchase my personal care products from online stores like yesstyle and soko glam because they offer a wide range of korean skincare brands and provide detailed ingredient lists i also appreciate that they often include free samples, which lets me try new products before committing plus, their transparency and reliability make me feel confident in my choices 😊",3,1-5,3.0,,5.0,2.0,0.6666666666666666,0.0,0,1,0.7142857142857143,False,0.2554914951324463,3,NO,YES,YES,"The AI keeps YesStyle, online shopping, and Korean skincare, but it misses that body shampoo is bought from supermarkets or drugstores and adds several extra details that were not mentioned.",0,True,True,Mixed fidelity,omission + unsupported elaboration,"The AI keeps YesStyle, online shopping, and Korean skincare, but it misses that body shampoo is bought from supermarkets or drugstores and adds several extra details that were not mentioned. Overall fidelity: Mixed fidelity."
3,g_human,"where do you typically purchase your personal care products, and why?",i almost always get all my personal care products (which are being close to being empty) when doing grocery shopping in my nearest full-service supermarket. this feels the most convenient and time-efficient to me.,"i typically purchase my personal care products from the supermarket it's convenient, and i can easily find the brands i recognize and trust plus, i like to see the product sizes and designs before buying",4,1-5,4.0,4.0,4.0,3.0,0.6666666666666666,0.0,0,1,0.6666666666666666,False,0.2796061038970947,4,NO,NO,YES,"The AI correctly keeps the supermarket and convenience part, but it adds extra reasons about trusted brands, product sizes, and design that were not mentioned.",0,True,True,Mostly faithful,unsupported elaboration,"The AI correctly keeps the supermarket and convenience part, but it adds extra reasons about trusted brands, product sizes, and design that were not mentioned. Overall fidelity: Mostly faithful."
4,c_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i don't really know the brands. i buy them because they get the job done and are affordable.,"i usually stick with brands that offer simple and effective products for skincare, i use a reliable sunscreen that doesn't have a bad scent and is affordable i don't follow trends much, so i prefer brands that are recommended by friends or have proven to work well for me",3,1-5,5.0,5.0,5.0,2.0,0.6666666666666666,0.0,0,1,0.7777777777777778,False,0.269851416349411,4,NO,NO,YES,"The AI keeps the main reasons that the products should work well and be affordable, but it adds several extra preferences such as sunscreen, avoiding bad scents, not following trends, and recommendations from friends that were not mentioned in the Human answer.",-1,False,True,Mostly faithful,unsupported elaboration,"The AI keeps the main reasons that the products should work well and be affordable, but it adds several extra preferences such as sunscreen, avoiding bad scents, not following trends, and recommendations from friends that were not mentioned in the Human answer. Overall fidelity: Mostly faithful."
5,s_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?","for my face i mostly use korean products like 'some by me', 'axis-y', 'beauty of joseon' for sunscreen.","i mostly buy skincare products from korean brands like 'some by mi' for their aha, bha, pha toner, and axis-y for their niacinamide serum because they work well for my oily, acne-prone skin i also use sunscreen by beauty of joseon since it feels light and effective these brands are transparent about their ingredients and have natural, organic options that i prefer",5,1-5,5.0,,,5.0,1.0,0.25,0,0,0.6,False,0.3151189982891083,4,NO,NO,YES,"The AI gets the main brands right and keeps the same overall preference for Korean skincare, but it adds product details, skin type, and ingredient preferences that were not mentioned in the Human answer.",1,False,True,Mostly faithful,unsupported elaboration,"The AI gets the main brands right and keeps the same overall preference for Korean skincare, but it adds product details, skin type, and ingredient preferences that were not mentioned in the Human answer. Overall fidelity: Mostly faithful."
6,g_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i'm actually not 100%% confident of the branding of my current body lotion. i think the current bottle is from niveau and the previous one was a cost-efficient discounter (no-name) brand.,i usually buy nivea for skincare and body wash products because they are reliable and have been effective for me over time i also sometimes pick up no-name brands if they have a good price-to-performance ratio i prefer sticking to what i know works well and fits into my routine,3,1-5,3.0,,5.0,2.0,0.5,0.0,0,2,0.7142857142857143,False,0.15454155206680298,4,NO,NO,YES,"The AI keeps the main ideas about Nivea, no-name brands, and price/value, but it adds reasons like reliability, long-term effectiveness, and routine fit that were not mentioned.",-1,False,True,Mostly faithful,unsupported elaboration,"The AI keeps the main ideas about Nivea, no-name brands, and price/value, but it adds reasons like reliability, long-term effectiveness, and routine fit that were not mentioned. Overall fidelity: Mostly faithful."
7,c_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","it should be around 300 ml, use natural materias and smell nice. of course it needs to clean the body haha","i prefer a body wash size of around 250-500 ml, with packaging made from recyclable or biodegradable materials the design should be simple and functional, like a pump or squeeze bottle, and clearly list essential information such as ingredients and usage instructions sustainability and ease of use are key for me",3,1-5,,3.0,,3.0,0.5,0.0,0,2,0.7777777777777778,True,0.15122677385807037,3,NO,YES,YES,"The AI keeps the approximate size and natural-material idea, but it misses the smell preference and adds several packaging, labeling, sustainability, and ease-of-use preferences that were not mentioned.",0,True,True,Mixed fidelity,omission + unsupported elaboration,"The AI keeps the approximate size and natural-material idea, but it misses the smell preference and adds several packaging, labeling, sustainability, and ease-of-use preferences that were not mentioned. Overall fidelity: Mixed fidelity."
8,s_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for body wash, i would go with a big size as it is more efficient, but glass bottle and transparent, minimalistic.","for a body wash, i prefer a 250-300 ml glass bottle with a pump dispenser for ease of use the packaging should be clean and clear, with detailed ingredient information and usage instructions natural and organic ingredients are a must, and the design should be practical and informative",3,1-5,,3.0,2.0,2.0,0.8,0.4,0,1,0.6666666666666666,False,0.29829755425453186,3,NO,YES,YES,"The AI keeps the glass, transparent, and minimalistic packaging preferences, but it does not really preserve the preference for a big size and adds several extra features that were not mentioned.",0,True,True,Mixed fidelity,omission + unsupported elaboration,"The AI keeps the glass, transparent, and minimalistic packaging preferences, but it does not really preserve the preference for a big size and adds several extra features that were not mentioned. Overall fidelity: Mixed fidelity."
9,g_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for home use, i prefer medium-large sized metal bottles of more than 300 ml with a pump dispenser that can be refilled. regarding the design i don't have a strong opinion. however, i think i prefer a clean and minimalistic design. i don't really care about information of its ingredients. for traveling purposes, i prefer rather small plastic bottles (around 150ml) with a normal dispenser.","i prefer a body wash product that comes in a 500ml bottle, as it lasts long enough without needing frequent repurchases the packaging should be simple and functional, with clear labeling of ingredients and benefits a minimalistic design that fits easily into my routine and storage space is ideal",2,1-5,,2.0,2.0,2.0,0.2,0.0,1,7,0.7,True,0.13437706232070923,3,YES,YES,YES,"The AI gets the larger bottle and minimalistic design mostly right, but it misses the metal bottle, refillable pump, and the smaller travel-size preference and It also says ingredient labeling is important, while the Human answer says they do not really care about ingredient information.",-1,False,True,Mixed fidelity,multiple fidelity issues,"The AI gets the larger bottle and minimalistic design mostly right, but it misses the metal bottle, refillable pump, and the smaller travel-size preference and it also says ingredient labeling is important, while the Human answer says they do not really care about ingredient information. Overall fidelity: Mixed fidelity."
10,c_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?","i don't usually buy in bulk, but rather as soon as i need them.","i regularly buy toothpaste and deodorant in bulk these are essential items in my daily routine, and buying them in larger quantities helps me save money and avoid running out",1,1-5,1.0,,,1.0,0.5,0.0,0,1,0.8,True,0.25749602913856506,1,YES,YES,YES,"The AI gives the opposite buying behavior; the Human says they do not usually buy in bulk, while the AI says they regularly do and also adds specific products and reasons that were not mentioned.",0,True,True,Very low fidelity,multiple fidelity issues,"The AI gives the opposite buying behavior; the Human says they do not usually buy in bulk, while the AI says they regularly do and also adds specific products and reasons that were not mentioned. Overall fidelity: Very low fidelity."
