row_id,person_id,question,human_answer,ai_answer,automated_fidelity_score,automated_fidelity_scale,core_fidelity_score,behavior_score,preference_score,motivation_score,nuance_score,human_claim_count,aligned_count,partial_count,contradicted_count,missing_count,ai_claim_count,unsupported_ai_count,claim_coverage_rate,strict_alignment_rate,unsupported_rate,nli_contradiction_present,nli_contradiction_count,strongest_contradiction_probability,bertscore_precision,bertscore_recall,bertscore_f1
1,c_human,"where do you typically purchase your personal care products, and why?","i usually buy my products online, as this gives the most flexibility and there are some nice discouns. sometimes i buy them at stores when i see something interesting.","i typically purchase my personal care products from stores that offer a wide range of essentials, like supermarkets or online platforms this way, i can get everything i need in one place, saving time and effort i also look for retailers that provide good value for money and carry products with non-harmful ingredients",2,1-5,2,3.0,3.0,3.0,2.0,5,0,3,0,2,6,4,0.6,0.0,0.6666666666666666,False,0,,0.1328062266111374,0.2764851152896881,0.2049388289451599
2,s_human,"where do you typically purchase your personal care products, and why?","i usually order my face products online from yesstyle page that has the korean skin products i need, but then when it comes to body shampoo i go to supermarkets or drugstores like dm.","i typically purchase my personal care products from online stores like yesstyle and soko glam because they offer a wide range of korean skincare brands and provide detailed ingredient lists i also appreciate that they often include free samples, which lets me try new products before committing plus, their transparency and reliability make me feel confident in my choices 😊",3,1-5,3,3.0,,5.0,2.0,3,0,2,0,1,7,5,0.6666666666666666,0.0,0.7142857142857143,False,0,,0.1719287484884262,0.3393224775791168,0.2554914951324463
3,g_human,"where do you typically purchase your personal care products, and why?",i almost always get all my personal care products (which are being close to being empty) when doing grocery shopping in my nearest full-service supermarket. this feels the most convenient and time-efficient to me.,"i typically purchase my personal care products from the supermarket it's convenient, and i can easily find the brands i recognize and trust plus, i like to see the product sizes and designs before buying",4,1-5,4,4.0,4.0,4.0,3.0,3,0,2,0,1,6,4,0.6666666666666666,0.0,0.6666666666666666,False,0,,0.2911534905433655,0.2657760977745056,0.2796061038970947
4,c_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i don't really know the brands. i buy them because they get the job done and are affordable.,"i usually stick with brands that offer simple and effective products for skincare, i use a reliable sunscreen that doesn't have a bad scent and is affordable i don't follow trends much, so i prefer brands that are recommended by friends or have proven to work well for me",3,1-5,3,5.0,5.0,5.0,2.0,3,0,2,0,1,9,7,0.6666666666666666,0.0,0.7777777777777778,False,0,,0.14194072782993317,0.4018619954586029,0.269851416349411
5,s_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?","for my face i mostly use korean products like 'some by me', 'axis-y', 'beauty of joseon' for sunscreen.","i mostly buy skincare products from korean brands like 'some by mi' for their aha, bha, pha toner, and axis-y for their niacinamide serum because they work well for my oily, acne-prone skin i also use sunscreen by beauty of joseon since it feels light and effective these brands are transparent about their ingredients and have natural, organic options that i prefer",5,1-5,5,5.0,,,5.0,4,1,3,0,0,10,6,1.0,0.25,0.6,False,0,,0.11173056811094284,0.533150315284729,0.3151189982891083
6,g_human,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",i'm actually not 100%% confident of the branding of my current body lotion. i think the current bottle is from niveau and the previous one was a cost-efficient discounter (no-name) brand.,i usually buy nivea for skincare and body wash products because they are reliable and have been effective for me over time i also sometimes pick up no-name brands if they have a good price-to-performance ratio i prefer sticking to what i know works well and fits into my routine,3,1-5,3,3.0,,5.0,2.0,4,0,2,0,2,7,5,0.5,0.0,0.7142857142857143,False,0,,0.10853621363639832,0.19858793914318085,0.15454155206680298
7,c_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","it should be around 300 ml, use natural materias and smell nice. of course it needs to clean the body haha","i prefer a body wash size of around 250-500 ml, with packaging made from recyclable or biodegradable materials the design should be simple and functional, like a pump or squeeze bottle, and clearly list essential information such as ingredients and usage instructions sustainability and ease of use are key for me",3,1-5,3,,3.0,,3.0,4,0,2,0,2,9,7,0.5,0.0,0.7777777777777778,True,1,0.6867120862007141,0.03882819786667824,0.2659214735031128,0.15122677385807037
8,s_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for body wash, i would go with a big size as it is more efficient, but glass bottle and transparent, minimalistic.","for a body wash, i prefer a 250-300 ml glass bottle with a pump dispenser for ease of use the packaging should be clean and clear, with detailed ingredient information and usage instructions natural and organic ingredients are a must, and the design should be practical and informative",3,1-5,3,,3.0,2.0,2.0,5,2,2,0,1,12,8,0.8,0.4,0.6666666666666666,False,0,,0.1765589565038681,0.4235697090625763,0.29829755425453186
9,g_human,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …","for home use, i prefer medium-large sized metal bottles of more than 300 ml with a pump dispenser that can be refilled. regarding the design i don't have a strong opinion. however, i think i prefer a clean and minimalistic design. i don't really care about information of its ingredients. for traveling purposes, i prefer rather small plastic bottles (around 150ml) with a normal dispenser.","i prefer a body wash product that comes in a 500ml bottle, as it lasts long enough without needing frequent repurchases the packaging should be simple and functional, with clear labeling of ingredients and benefits a minimalistic design that fits easily into my routine and storage space is ideal",2,1-5,2,,2.0,2.0,2.0,10,0,2,1,7,10,7,0.2,0.0,0.7,True,1,0.9968225955963135,0.14647190272808075,0.11953725665807724,0.13437706232070923
10,c_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?","i don't usually buy in bulk, but rather as soon as i need them.","i regularly buy toothpaste and deodorant in bulk these are essential items in my daily routine, and buying them in larger quantities helps me save money and avoid running out",1,1-5,1,1.0,,,1.0,2,0,1,0,1,5,4,0.5,0.0,0.8,True,1,0.9959068298339844,0.1739635020494461,0.3413008451461792,0.25749602913856506
11,s_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?","body wash, hand wash, thats it. i do not like to buy face products in big sizes or hair shampoo. i hate that. ","i regularly buy the aha, bha, pha toner from 'some by mi' and the niacinamide serum from axis-y in bulk these products are essential for my skincare routine, and i like to ensure i always have a consistent supply plus, they work really well for my oily, acne-prone skin 😊",1,1-5,1,1.0,1.0,,1.0,4,0,1,0,3,5,4,0.25,0.0,0.8,True,1,0.9097317457199097,-0.10777635872364044,0.20275798439979553,0.04421517252922058
12,g_human,"which personal care products, if any, do you regularly buy in larger/bulk quantities?",i'm almost always only buying a single item as soon as one personal care product is about to go empty. in rare occasions i buy the same product twice in one shopping trip when its discounted.,i regularly buy head & shoulders shampoo and nivea roll-on deodorant in bulk these are products i use daily and trust for their effectiveness buying in larger quantities helps me avoid frequent shopping trips and ensures i always have them on hand,1,1-5,1,1.0,,2.0,1.0,3,0,0,2,1,8,6,0.0,0.0,0.75,False,0,,0.07950792461633682,0.19663041830062866,0.1387975960969925
13,c_human,"if you could choose one celebrity to represent a brand of men's or women's skin and body care products that inspires you to make a purchase, who would that celebrity be and why?","it would need to be a well-known celebreity, probably starring in movies which is handsome and lean. maybe something like jacob elordi or christian bale.","i'd choose emma watson she's known for her practical approach to personal care, advocates for sustainability, and uses products with non-harmful ingredients her consistency and health-conscious choices align with my values",2,1-5,2,,2.0,2.0,2.0,4,1,0,1,2,6,5,0.25,0.25,0.8333333333333334,True,1,0.5947825908660889,0.04135891795158386,-0.023577144369482994,0.010286195203661919
14,s_human,"if you could choose one celebrity to represent a brand of men's or women's skin and body care products that inspires you to make a purchase, who would that celebrity be and why?","i do not know, it really depends on the day, it changes all the time, but if i had to pick one, i would go with keira knightley, just because i like her in general :)","i would choose hyram yarbro to represent a brand of skincare products he’s known for his dedication to skincare, transparency about ingredients, and practical advice, which aligns perfectly with my values and needs plus, he often recommends effective, natural, and organic products that suit my skin type",2,1-5,2,,2.0,2.0,2.0,5,0,0,2,3,10,9,0.0,0.0,0.9,True,1,0.9744663834571838,-0.059945248067379,0.008918099105358124,-0.024086706340312958
15,g_human,"if you could choose one celebrity to represent a brand of men's or women's skin and body care products that inspires you to make a purchase, who would that celebrity be and why?",i can't really think of a male celebrity right now since i haven't met any in real life and i'm aware that they are polished (using make-up) when being filmed or being at public events.,"i'd choose david beckham he's known for his practical and consistent approach to personal care, and he embodies reliability and a straightforward lifestyle plus, his long-term commitment to grooming makes him a trustworthy choice",1,1-5,1,,2.0,2.0,2.0,3,0,0,1,2,7,6,0.0,0.0,0.8571428571428571,True,1,0.9195540547370911,-0.014886465854942799,-0.018803633749485016,-0.015194087289273739
16,c_human,how long have you been using your current brand of toothpaste? do you also remember the last time you switched brands and why?,"since forever, my mum used to buy them and i just continued to buy them, so something like 10 years? i did never have a specific reason to switch toothpase brands.",i've been using my current brand of toothpaste for a few years now the last time i switched brands was because i wanted a product with better ingredients i prefer to stick with what works and avoid unnecessary changes,2,1-5,2,3.0,,1.0,1.0,4,0,2,1,1,4,1,0.5,0.0,0.25,True,1,0.7310845255851746,0.21456539630889893,0.20313258469104767,0.2101278305053711
17,s_human,how long have you been using your current brand of toothpaste? do you also remember the last time you switched brands and why?,"i do not care much about toothpaste brand, my boyfriend buys those in the drugstore close by. i just want it to feel fresh and have the right texture, i do care about the ingredients tho.",i've been using my current brand of toothpaste for about two years now the last time i switched brands was because i wanted something with more natural ingredients and better effectiveness i always look for transparency in the ingredients and how well the product works for me 😊,2,1-5,2,2.0,3.0,,2.0,6,1,0,0,5,6,5,0.16666666666666666,0.16666666666666666,0.8333333333333334,False,0,,0.19972917437553406,0.2666091322898865,0.23420041799545288
18,g_human,how long have you been using your current brand of toothpaste? do you also remember the last time you switched brands and why?,"its rather likely that my toothpaste brand changed when i bought a new toothpaste last week since i don't really pay attention to the toothpaste brands. however, i think that i'm usually rotating between 2-3 toothpaste brands (e.g., colgate, elmex, blend-a-med)","i've been using my current brand of toothpaste for several years now the last time i switched brands was because of a recommendation from a friend, but i quickly went back to my usual one since it works well for me i prefer sticking to what i know is reliable",1,1-5,1,1.0,1.0,2.0,1.0,4,0,2,0,2,5,3,0.5,0.0,0.6,True,1,0.6829501390457153,0.13190026581287384,0.12112370878458023,0.12792550027370453
19,c_human,"if you would create the perfect body wash for you, what ingredients would it have? what other features you would prefer?","i prefer something that is effective and not overpriced, and of course i care about sustainable ingredients","If I were to create my perfect body wash, it’d have a super gentle formula with ingredients like aloe vera or chamomile to keep my skin calm and hydrated. I’d want it to smell fresh but not too strong—something light and clean. Also, I’m all about sustainability, so the packaging needs to be eco-friendly! It should moisturize without leaving that greasy feeling, and definitely no harsh chemicals—stuff like sulfates or parabens. Just something simple, effective, and easy to use every day.",3,1-5,3,,3.0,,3.0,3,1,1,0,1,18,16,0.6666666666666666,0.3333333333333333,0.8888888888888888,False,0,,-0.0008252964471466839,0.3302950859069824,0.16073355078697205
20,s_human,"if you would create the perfect body wash for you, what ingredients would it have? what other features you would prefer?","the important things for me are ingredients, i want to have full transparency on the ingredient list. this should be clearly stated in the packaging. it would be nice to have for each ingredient also what are the effects on the body. I want a clear glass bottle, minimalistic. The texture if the body lotion is also very imprtant to me, it should be soft but not heavy. I want it to smell oud like. ","If I were to create the perfect body wash, it would include organic coconut oil for hydration, aloe vera for soothing, and essential oils like lavender for a calming scent. I would ensure it’s free from harsh chemicals and packaged in biodegradable materials. A gentle exfoliating element from natural sources and cruelty-free testing would also be essential. Overall, it would nourish the skin while being kind to the planet.",2,1-5,2,,2.0,,2.0,10,0,1,0,9,12,11,0.1,0.0,0.9166666666666666,False,0,,0.06023425981402397,0.13275770843029022,0.09770508110523224
21,g_human,"if you would create the perfect body wash for you, what ingredients would it have? what other features you would prefer?","since i've never spent effort on investigating ingredients of a body wash, i don't have an answer to what ingredients should be in my perfect body wash. regarding other features, it should smell good and shouldn't impact the dryness of my skin in a negative way (ideally it effects it in a positive way)","i’d love a body wash that blends real peppermint extract for a cool, refreshing feel with shea butter for deep moisture. a mild, herbal fragrance would keep it invigorating yet not overpowering. i’d also prefer a refillable pump bottle for convenience and to reduce waste—so it’s both a pleasant daily ritual and a more eco-friendly choice.",3,1-5,3,2.0,3.0,2.0,2.0,5,3,0,1,1,12,9,0.6,0.6,0.75,False,0,,0.04663649946451187,0.13273577392101288,0.0907990038394928
22,c_human,"Which out of the following type of body lotion you would prefer and why? Option 1 – Dove Body Love Nourished
Radiance Body Lotion Option 2 – Dove Body Love Light Hydration Body Lotion Option 3 – Dove Body Love Pro Age
Body Lotion for Mature Skin Option 4 – Dove Body Love Supple Bounce Body Lotion",i would chose option 2,"I’d probably go for Option 2 – Dove Body Love Light Hydration Body Lotion. It sounds like it’s perfect for daily use, providing just the right amount of hydration without feeling too heavy. I’m not really after something super rich or intense, so a light hydration option is ideal. Plus, it’s something I can use every day without worrying about feeling greasy or sticky—just smooth and soft skin!",4,1-5,4,,4.0,,,1,1,0,0,0,12,11,1.0,1.0,0.9166666666666666,False,0,,-0.25887882709503174,0.3706232011318207,0.03760256618261337
23,s_human,"Which out of the following type of body lotion you would prefer and why? Option 1 – Dove Body Love Nourished
Radiance Body Lotion Option 2 – Dove Body Love Light Hydration Body Lotion Option 3 – Dove Body Love Pro Age
Body Lotion for Mature Skin Option 4 – Dove Body Love Supple Bounce Body Lotion","my first choice would be option 1 and option 2, from what i understand just from the desciption I would like to have smth that hydratates and nourishes my body","I would prefer Option 2 – Dove Body Love Light Hydration Body Lotion. I tend to go for products that provide hydration without being too heavy or greasy, and the ""light hydration"" aspect fits my preference. Since I’m sensitive to strong scents, I also appreciate that Dove’s body lotions generally have a mild fragrance. I also value sustainability, so Dove’s commitment to responsible sourcing and packaging aligns with my values, making it a good fit for my body care routine.",3,1-5,3,,3.0,3.0,2.0,4,1,1,0,2,9,7,0.5,0.25,0.7777777777777778,False,0,,0.00669859116896987,0.06597313284873962,0.03772652521729469
24,g_human,"Which out of the following type of body lotion you would prefer and why? Option 1 – Dove Body Love Nourished
Radiance Body Lotion Option 2 – Dove Body Love Light Hydration Body Lotion Option 3 – Dove Body Love Pro Age
Body Lotion for Mature Skin Option 4 – Dove Body Love Supple Bounce Body Lotion","i don't really feel addressed by any of the suggested product names. i think that i don't pay that much attention to product names (at least regarding personal care products). i rather pay attention to visual product designs. if I had to pick one, then ""dove body love light hydration body lotion"".","i’d pick the dove body love pro age body lotion for mature skin option because it absorbs quickly and feels weightless on my skin. that lightweight texture makes it easy to layer with my favorite scents, and it provides just the right amount of moisture for everyday comfort.",2,1-5,2,,2.0,2.0,2.0,4,0,0,1,3,5,4,0.0,0.0,0.8,True,1,0.811774730682373,0.07728850096464157,0.0696554034948349,0.07497452199459076
25,c_human,"How likely are you to repurchase your preferred personal care brand, and what factors influence your loyalty to that brand?","as i said i would rebuy a brand if the product is working for me, has a good affortable price and smells good","I’d say I’m pretty likely to repurchase if a brand works well for me. I mean, if it keeps my skin feeling good and smells nice, I’m happy. I also really like when a brand cares about sustainability—whether it’s how they package stuff or the ingredients they use. And of course, price matters too. I’m not looking to spend a lot on products that don’t make a difference. As long as it feels nice, doesn’t irritate my skin, and isn’t crazy expensive, I’ll definitely stick with it!",5,1-5,5,5.0,5.0,5.0,5.0,3,1,2,0,0,8,5,1.0,0.3333333333333333,0.625,False,0,,0.07562481611967087,0.2926177680492401,0.18315580487251282
